,Anon,kolejności,Data zakupu,bottle_filter_units,next_purchase_date,days_until_next_purchase,filter_retention_days
5,ANON_0006,69825101,2022-11-14,3,2023-03-22,128.0,42.666666666666664
764,ANON_0006,99107071,2023-03-22,7,2023-07-14,114.0,16.285714285714285
1765,ANON_0006,125125377,2023-07-14,7,2024-03-27,257.0,36.714285714285715
5499,ANON_0006,186642606,2024-03-27,9,2024-07-15,110.0,12.222222222222221
6,ANON_0007,69871741,2022-11-14,4,2023-11-27,378.0,94.5
7211,ANON_0012,209717081,2024-07-13,3,2024-10-28,107.0,35.666666666666664
19,ANON_0020,70681343,2022-11-17,6,2023-08-22,278.0,46.333333333333336
29,ANON_0030,71286523,2022-11-20,32,2023-04-27,158.0,4.9375
1132,ANON_0030,107413278,2023-04-27,14,2024-05-02,371.0,26.5
6076,ANON_0030,194102338,2024-05-02,6,2024-12-23,235.0,39.166666666666664
10087,ANON_0030,244383110,2024-12-23,7,2025-03-22,89.0,12.714285714285714
37,ANON_0038,71834990,2022-11-22,6,2023-08-19,270.0,45.0
1647,ANON_0049,121837762,2023-06-30,11,2023-12-22,175.0,15.909090909090908
3974,ANON_0049,166215626,2023-12-22,9,2025-01-03,378.0,42.0
57,ANON_0058,73051182,2022-11-27,4,2023-08-13,259.0,64.75
2060,ANON_0058,131982906,2023-08-13,6,2024-08-26,379.0,63.166666666666664
7943,ANON_0058,218014196,2024-08-26,6,2024-09-22,27.0,4.5
62,ANON_0063,73351778,2022-11-28,3,2024-02-10,439.0,146.33333333333334
63,ANON_0064,73419522,2022-11-28,18,2022-12-03,5.0,0.2777777777777778
67,ANON_0068,73726630,2022-11-29,2,2022-12-07,8.0,4.0
75,ANON_0076,74351722,2022-12-01,1,2023-02-22,83.0,83.0
76,ANON_0077,74417194,2022-12-01,7,2023-02-14,75.0,10.714285714285714
402,ANON_0077,91242621,2023-02-14,8,2023-07-15,151.0,18.875
1772,ANON_0077,125259439,2023-07-15,9,2024-01-27,196.0,21.77777777777778
4484,ANON_0077,173206555,2024-01-27,6,2025-02-16,386.0,64.33333333333333
10941,ANON_0077,253344575,2025-02-16,3,2025-10-24,250.0,83.33333333333333
85,ANON_0085,74869399,2022-12-03,3,2024-02-20,444.0,148.0
4860,ANON_0085,178587530,2024-02-20,4,2024-07-01,132.0,33.0
6980,ANON_0085,207166366,2024-07-01,6,2025-01-22,205.0,34.166666666666664
10552,ANON_0085,249034552,2025-01-22,12,2025-09-14,235.0,19.583333333333332
103,ANON_0103,75906701,2022-12-07,5,2024-10-29,692.0,138.4
110,ANON_0109,76266362,2022-12-08,5,2025-07-12,947.0,189.4
113,ANON_0112,76424685,2022-12-08,4,2025-04-25,869.0,217.25
120,ANON_0119,76799342,2022-12-10,21,2023-07-07,209.0,9.952380952380953
129,ANON_0128,77373735,2022-12-12,10,2024-02-29,444.0,44.4
